TTCNum	ImageFN	Count	Area	Species	LifeHistory
TTC021096	01-03-2019_TTC021096_005.jpg	8	185.224	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	1	341.897	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	2	230.588	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	3	277.699	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	4	219.561	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	5	139.395	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	6	196.142	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	7	182.167	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	8	216.094	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	9	264.297	Digitaria_cognatum	Grass
TTC021096	01-03-2019_TTC021096_006.jpg	10	223.273	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_001.jpg	1	354.152	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_001.jpg	2	230.861	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_001.jpg	3	184.118	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_001.jpg	4	237.698	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_001.jpg	5	202.01	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_001.jpg	6	192.921	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_001.jpg	7	103.134	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_002.jpg	1	174.742	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_002.jpg	2	153.739	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_002.jpg	3	177.445	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_002.jpg	4	216.749	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_002.jpg	5	215.275	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_002.jpg	6	127.986	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	1	239.513	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	2	171.631	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	3	187.885	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	4	186.616	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	5	177.731	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	6	257.855	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	7	251.387	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	8	180.925	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	9	202.788	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	10	258.552	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	11	145.714	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_003.jpg	12	242.898	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_004.jpg	1	243.567	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_004.jpg	2	206.063	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_004.jpg	3	259.37	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_004.jpg	4	248.07	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_004.jpg	5	275.215	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_004.jpg	6	275.952	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_004.jpg	7	203.866	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_004.jpg	8	240.878	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_004.jpg	9	225.142	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	1	254.826	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	2	272.69	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	3	190.178	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	4	278.286	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	5	163.115	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	6	101.496	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	7	215.521	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	8	221.499	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	9	345.677	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_005.jpg	10	165.735	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_006.jpg	1	303.138	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_006.jpg	2	254.935	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_006.jpg	3	276.075	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_006.jpg	4	137.689	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_006.jpg	5	238.694	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_006.jpg	6	287.047	Digitaria_cognatum	Grass
TTC021097	01-03-2019_TTC021097_006.jpg	7	315.421	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_001.jpg	1	199.895	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_001.jpg	2	277.344	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_001.jpg	3	217.486	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_001.jpg	4	319.187	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_001.jpg	5	229.646	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_001.jpg	6	306.782	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_001.jpg	7	262.496	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_002.jpg	1	174.66	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_002.jpg	2	203.184	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_002.jpg	3	141.251	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_002.jpg	4	261.868	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_002.jpg	5	244.426	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_002.jpg	6	201.846	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_003.jpg	1	231.871	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_003.jpg	2	253.597	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_003.jpg	3	183.941	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_003.jpg	4	372.74	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_003.jpg	5	259.493	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_003.jpg	6	255.972	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_003.jpg	7	200.4	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_004.jpg	1	199.635	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_004.jpg	2	208.192	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_004.jpg	3	141.784	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_004.jpg	4	264.038	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_004.jpg	5	204.999	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_004.jpg	6	208.725	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_005.jpg	1	203.593	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_005.jpg	2	164.752	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_005.jpg	3	267.968	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_005.jpg	4	251.441	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_005.jpg	5	193.194	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_005.jpg	6	175.479	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_005.jpg	7	171.917	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_005.jpg	8	246.596	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_005.jpg	9	205.176	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_006.jpg	1	309.839	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_006.jpg	2	335.455	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_006.jpg	3	363.173	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_006.jpg	4	218.892	Digitaria_cognatum	Grass
TTC021098	01-03-2019_TTC021098_006.jpg	5	235.951	Digitaria_cognatum	Grass
TTC020569	05-03-2019_TTC020569_001.jpg	1	122.5	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	2	104.976	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	3	112.619	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	4	59.448	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	5	78.896	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	6	123.401	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	7	118.815	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	8	57.688	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	9	85.324	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	10	102.561	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	11	42.99	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	12	35.579	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	13	86.921	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	14	76.453	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	15	77.286	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	16	36.562	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	17	85.324	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	18	80.247	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	19	110.176	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	20	59.776	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	21	48.312	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	22	81.148	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	23	55.859	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	24	70.994	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	25	87.371	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	26	67.842	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	27	91.465	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	28	78.077	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	29	74.761	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	30	108.866	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	31	112.919	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	32	77.681	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	33	71.54	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	34	81.394	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	35	63.625	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_001.jpg	36	74.106	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	1	87.494	Ungnadia_speciosa	Tree
