TTCNumber,Sample,Area(mm^2),Mass (mg),Species,LifeHistory,Family,Latitude ,Longitude ,Elevation(m)
TTC020168,1,54.76,11.5,Cirsium undulatum,Forb,Asteraceae,31.89218331,-104.8150578,1715.711304
TTC020170,2,92.99,12.8,Cirsium undulatum,Forb,Asteraceae,31.962942,-104.791521,1696.062622
TTC020727,3,83.71,7.9,Cirsium undulatum,Forb,Asteraceae,32.1883,-104.4174,1218.9375
TTC021113,4,78.73,8.9,Cirsium undulatum,Forb,Asteraceae,32.131276,-104.335372,1026.818726
TTC020391,5,77.82,14.1,Quercus pungens,Shrub,Fagaceae,31.90595,-104.785781,1615.38623
TTC021023,6,107.23,19.4,Quercus pungens,Shrub,Fagaceae,31.824941,-104.532727,1194.104614
TTC021093,7,57.35,10,Quercus pungens,Tree,Fagaceae,32.131276,-104.335372,1026.818726
TTC021094,8,80.91,10.4,Quercus pungens,Tree,Fagaceae,31.824941,-104.532727,1194.104614
TTC021121,9,33.68,3.2,Philadelphus hitchcockianus ,Shrub,Hydrangeaceae,31.980313,-104.75605,1528.858032
TTC021120,10,33.85,3.1,Philadelphus hitchcockianus ,Shrub,Hydrangeaceae,31.980929,-104.782298,1595.170288
TTC021118,11,40.31,4,Philadelphus hitchcockianus ,Shrub,Hydrangeaceae,32.181781,-104.609031,1479.124634
TTC020700,12,54.89,4.5,Amelanchier utahensis,Shrub,Rosaceae,31.952635,-104.848962,2282.802246
TTC020701,13,59.15,4.3,Amelanchier utahensis,Shrub,Rosaceae,31.937327,-104.8795,2480.906006
TTC020017,14,42.17,7.8,Asclepias asperula,Forb,Apocynaceae,31.895662,-104.826171,1769.869141
TTC020020,15,41.61,4.3,Asclepias asperula,Forb,Apocynaceae,31.969336,-104.788482,1619.077393
TTC020738,16,71.85,7,Asclepias asperula,Forb,Apocynaceae,32.140874,-104.552993,1605.552979
TTC021110,17,58.14,11.6,Asclepias asperula,Forb,Apocynaceae,32.140874,-104.552993,1605.552979
TTC021112,18,82.85,8.1,Cyphomeris gypsophiloides,Forb,Nyctaginaceae,31.889005,-104.885782,1550.909668
TTC020665,19,24.48,3.4,Cyphomeris gypsophiloides,Forb,Nyctaginaceae,31.907831,-104.801526,1687.955933
TTC020668,20,37.11,5.4,Cyphomeris gypsophiloides,Forb,Nyctaginaceae,31.889005,-104.885782,1550.909668
TTC020669,21,39.97,4.5,Cyphomeris gypsophiloides,Forb,Nyctaginaceae,31.996416,-104.832879,1902.751465
TTC020956,22,45.61,3.2,Digitaria cognatum (Leptoloma cognatum),Grass,Poaceae,31.823455,-104.484107,1146.27124
TTC021096,23,33.49,1.4,Digitaria cognatum (Leptoloma cognatum),Grass,Poaceae,31.878228,-104.584754,1230.852295
TTC021097,24,40.43,2.4,Digitaria cognatum (Leptoloma cognatum),Grass,Poaceae,31.878228,-104.584754,1230.852295
TTC020955,25,29.64,1,Digitaria cognatum (Leptoloma cognatum),Grass,Poaceae,31.878228,-104.584754,1230.852295
TTC020438,26,69.79,5,Hedeoma costata,Forb,Lamiaceae,31.969474,-104.790614,1648.060791
TTC020440,27,59.51,5.2,Hedeoma costata,Forb,Lamiaceae,31.99776,-104.833443,1902.837158
TTC020772,28,67.19,9.2,Mirabilis linearis,Forb,Nyctaginaceae,31.918281,-104.826611,2434.430908
TTC021108,29,67.17,9.8,Mirabilis linearis,Forb,Nyctaginaceae,31.918281,-104.826611,2434.430908
TTC021109,30,60.08,4.2,Mirabilis linearis,Forb,Nyctaginaceae,31.918281,-104.826611,2434.430908
TTC020657,31,96.46,7.6,Morus celtidifolia (Morus microphylla),Tree,Moraceae,31.933241,-104.888476,1931.835449
TTC020658,32,82.14,4.7,Morus celtidifolia (Morus microphylla),Tree,Moraceae,31.988307,-104.78627,1624.438843
TTC021107,33,74.68,9,Morus celtidifolia (Morus microphylla),Tree,Moraceae,31.988307,-104.78627,1624.438843
TTC021111,34,72.57,2.9,Panicum bulbosum ,Grass,Poaceae,31.90595,-104.785781,1615.38623
TTC020461,35,48.34,3.7,Panicum bulbosum  ,Grass,Poaceae,31.90595,-104.785781,1615.38623
TTC020815,36,45.69,1.7,Panicum bulbosum  (Asclepias brachystephana),Grass,Asclepiadaceae,31.868646,-104.475891,1129.52771
TTC020497,37,72.29,3.9,Salvia summa,Forb,Lamiaceae,31.962368,-104.791478,1674.392578
TTC020498,38,74.16,8.5,Salvia summa,Forb,Lamiaceae,31.933277,-104.889313,1903.936035
TTC020502,39,102.45,8.3,Salvia summa,Forb,Lamiaceae,31.983448,-104.781059,1585.181885
TTC020503,40,80.37,6.4,Salvia summa,Forb,Lamiaceae,31.962004,-104.791521,1687.246948
TTC020902,41,39.33,1.6,Sporobolus contractus,Grass,Poaceae,31.852573,-104.552531,1208.218872
TTC020900,42,58.55,3.1,Sporobolus cryptandrus,Grass,Poaceae,31.867764,-104.557154,1197.399292
TTC020907,43,52.87,2.1,Sporobolus cryptandrus,Grass,Poaceae,31.867764,-104.557154,1197.399292
TTC020569,44,165.38,8.3,Ungnadia speciosa,Tree,Sapindaceae,31.988716,-104.762489,1590.214478
TTC020570,45,148.45,4.6,Ungnadia speciosa,Tree,Sapindaceae,31.911317,-104.821855,2040.424316
TTC021118,46,114.38,13.6,Philadelphus hitchcockianus ,Shrub,Hydrangeaceae,,,
TTC020700,47,215.79,14.8,Amelanchier utahensis,Shrub,Rosaceae,,,
TTC020701,48,188.81,6.2,Amelanchier utahensis,Shrub,Rosaceae,,,
TTC020017,49,155.71,18.8,Asclepias asperula,Forb,Apocynaceae,,,
TTC020020,50,166.19,11.8,Asclepias asperula,Forb,Apocynaceae,,,
TTC020738,51,95.62,8.1,Asclepias asperula,Forb,Apocynaceae,,,
TTC021110,52,87.33,13.5,Asclepias asperula,Forb,Apocynaceae,,,
TTC021112,53,168.67,18.3,Cyphomeris gypsophiloides,Forb,Nyctaginaceae,,,
TTC021096,54,48.49,3.2,Digitaria cognatum (Leptoloma cognatum),Grass,Poaceae,,,
TTC021097,55,77.84,2.7,Digitaria cognatum (Leptoloma cognatum),Grass,Poaceae,,,
TTC020955,56,60.72,4.1,Digitaria cognatum (Leptoloma cognatum),Grass,Poaceae,,,
TTC020461,57,82.99,6.7,Panicum bulbosum  ,Grass,Poaceae,,,
TTC020815,58,104.68,4.9,Panicum bulbosum  (Asclepias brachystephana),Grass,Asclepiadaceae,,,
TTC020503,59,115.25,16.8,Salvia summa,Forb,Lamiaceae,,,
TTC020044,60,96.84,13.9,Dyschoriste linearis,Forb,Acanthaceae,,,
TTC020043,61,117.63,18.9,Stenandrium barbatum ,Forb,Acanthaceae,,,
TTC020037,62,87.79,5.9,Acanthochiton wrightii,Forb,Amaranthaceae,,,
TTC020036,63,60.26,3.6,Acanthochiton wrightii,Forb,Amaranthaceae,,,
TTC020038,64,50.91,4.3,Acanthochiton wrightii,Forb,Amaranthaceae,,,
TTC020033,65,92.86,5.9,Tidestromia lanuginosa var. lanuginiosa,Forb,Amaranthaceae,,,
TTC020034,66,66.68,5.4,Tidestromia lanuginosa var. lanuginiosa,Forb,Amaranthaceae,,,
TTC020032,67,91.69,12.1,Tidestromia lanuginosa var. lanuginiosa,Forb,Amaranthaceae,,,
TTC020031,68,51.85,6.4,Rhus microphylla,Shrub,Anacardiaceae,,,
TTC020030,69,109.01,5.3,Rhus toxicodendron var. vulgaris,Shrub,Anacardiaceae,,,
